Time [s],Value,Parity Error,Framing Error
1.476356320000000,0x01,,
1.476442880000000,0x01,,
1.476529440000000,0xFE,,
1.476616000000000,0x48,,
1.476702720000000,0x65,,
1.476789280000000,0x6C,,
1.476875840000000,0x6C,,
1.476962560000000,0x6F,,
1.477049120000000,0x20,,
1.477135840000000,0x66,,
1.477222560000000,0x72,,
1.477309120000000,0x6F,,
1.477395840000000,0x6D,,
1.477482560000000,0x20,,
1.477569120000000,0x53,,
1.477655840000000,0x65,,
1.477742560000000,0x6E,,
1.477829120000000,0x64,,
1.477915840000000,0x2E,,
1.478002560000000,0x0A,,
1.478089120000000,0x1A,,
1.478175840000000,0x1A,,
1.478262400000000,0x1A,,
1.478349120000000,0x1A,,
1.478435840000000,0x1A,,
1.478522400000000,0x1A,,
1.478609120000000,0x1A,,
1.478695680000000,0x1A,,
1.478782240000000,0x1A,,
1.478868960000000,0x1A,,
1.478955520000000,0x1A,,
1.479042080000000,0x1A,,
1.479128800000000,0x1A,,
1.479215520000000,0x1A,,
1.479302080000000,0x1A,,
1.479388640000000,0x1A,,
1.479475360000000,0x1A,,
1.479562080000000,0x1A,,
1.479648960000000,0x1A,,
1.479735680000000,0x1A,,
1.479822400000000,0x1A,,
1.479909120000000,0x1A,,
1.479995840000000,0x1A,,
1.480082720000000,0x1A,,
1.480169440000000,0x1A,,
1.480256160000000,0x1A,,
1.480342720000000,0x1A,,
1.480429440000000,0x1A,,
1.480516000000000,0x1A,,
1.480602720000000,0x1A,,
1.480689280000000,0x1A,,
1.480775840000000,0x1A,,
1.480862560000000,0x1A,,
1.480949120000000,0x1A,,
1.481035840000000,0x1A,,
1.481122400000000,0x1A,,
1.481208960000000,0x1A,,
1.481295680000000,0x1A,,
1.481382240000000,0x1A,,
1.481468960000000,0x1A,,
1.481555680000000,0x1A,,
1.481642400000000,0x1A,,
1.481729120000000,0x1A,,
1.481815680000000,0x1A,,
1.481902400000000,0x1A,,
1.481988960000000,0x1A,,
1.482075680000000,0x1A,,
1.482162240000000,0x1A,,
1.482248960000000,0x1A,,
1.482335520000000,0x1A,,
1.482422240000000,0x1A,,
1.482508960000000,0x1A,,
1.482595680000000,0x1A,,
1.482682240000000,0x1A,,
1.482768800000000,0x1A,,
1.482855520000000,0x1A,,
1.482942080000000,0x1A,,
1.483028800000000,0x1A,,
1.483115520000000,0x1A,,
1.483202080000000,0x1A,,
1.483288800000000,0x1A,,
1.483375360000000,0x1A,,
1.483462080000000,0x1A,,
1.483548800000000,0x1A,,
1.483635360000000,0x1A,,
1.483722080000000,0x1A,,
1.483808640000000,0x1A,,
1.483895360000000,0x1A,,
1.483981920000000,0x1A,,
1.484068640000000,0x1A,,
1.484155360000000,0x1A,,
1.484242080000000,0x1A,,
1.484328800000000,0x1A,,
1.484415520000000,0x1A,,
1.484502400000000,0x1A,,
1.484589120000000,0x1A,,
1.484675840000000,0x1A,,
1.484762560000000,0x1A,,
1.484849280000000,0x1A,,
1.484935840000000,0x1A,,
1.485022400000000,0x1A,,
1.485108800000000,0x1A,,
1.485195360000000,0x1A,,
1.485281920000000,0x1A,,
1.485368480000000,0x1A,,
1.485455040000000,0x1A,,
1.485541440000000,0x1A,,
1.485627840000000,0x1A,,
1.485714240000000,0x1A,,
1.485800640000000,0x1A,,
1.485887040000000,0x1A,,
1.485973280000000,0x1A,,
1.486059680000000,0x1A,,
1.486145920000000,0x1A,,
1.486232320000000,0x1A,,
1.486318720000000,0x1A,,
1.486405120000000,0x1A,,
1.486491520000000,0x1A,,
1.486577920000000,0x1A,,
1.486664480000000,0x1A,,
1.486750880000000,0x1A,,
1.486837440000000,0x1A,,
1.486923840000000,0x1A,,
1.487010400000000,0x1A,,
1.487096800000000,0x1A,,
1.487183200000000,0x1A,,
1.487269760000000,0x1A,,
1.487356320000000,0x1A,,
1.487442880000000,0x1A,,
1.487529440000000,0x1A,,
1.487616000000000,0x1A,,
1.487702560000000,0xF0,,
1.492499200000000,0x04,,
